LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
49m         Warning   BackoffLimitExceeded   job/k6-load-test-gradual-product-service-b1-gradual-rep1              Job has reached the specified backoff limit
40m         Normal    Scheduled              pod/k6-load-test-spike-product-service-b1-spike-rep1-xw7z9            Successfully assigned ecommerce/k6-load-test-spike-product-service-b1-spike-rep1-xw7z9 to aks-userpool-16719200-vmss000011
40m         Normal    SuccessfulCreate       job/k6-load-test-spike-product-service-b1-spike-rep1                  Created pod: k6-load-test-spike-product-service-b1-spike-rep1-xw7z9
40m         Normal    Pulling                pod/k6-load-test-spike-product-service-b1-spike-rep1-xw7z9            Pulling image "grafana/k6:latest"
40m         Normal    Started                pod/k6-load-test-spike-product-service-b1-spike-rep1-xw7z9            Started container k6
40m         Normal    Pulled                 pod/k6-load-test-spike-product-service-b1-spike-rep1-xw7z9            Successfully pulled image "grafana/k6:latest" in 1.647s (1.647s including waiting). Image size: 36750082 bytes.
40m         Normal    Created                pod/k6-load-test-spike-product-service-b1-spike-rep1-xw7z9            Created container: k6
27m         Warning   BackoffLimitExceeded   job/k6-load-test-spike-product-service-b1-spike-rep1                  Job has reached the specified backoff limit
18m         Normal    SuccessfulCreate       job/k6-load-test-oscillating-product-service-b1-oscillating-rep1      Created pod: k6-load-test-oscillating-product-service-b1-oscillating-reh9bxl
18m         Normal    Pulling                pod/k6-load-test-oscillating-product-service-b1-oscillating-reh9bxl   Pulling image "grafana/k6:latest"
18m         Normal    Scheduled              pod/k6-load-test-oscillating-product-service-b1-oscillating-reh9bxl   Successfully assigned ecommerce/k6-load-test-oscillating-product-service-b1-oscillating-reh9bxl to aks-userpool-16719200-vmss000011
18m         Normal    Pulled                 pod/k6-load-test-oscillating-product-service-b1-oscillating-reh9bxl   Successfully pulled image "grafana/k6:latest" in 1.397s (1.397s including waiting). Image size: 36750082 bytes.
18m         Normal    Started                pod/k6-load-test-oscillating-product-service-b1-oscillating-reh9bxl   Started container k6
18m         Normal    Created                pod/k6-load-test-oscillating-product-service-b1-oscillating-reh9bxl   Created container: k6
6m55s       Warning   Unhealthy              pod/product-service-646fd4c8b8-q7dm4                                  Readiness probe failed: Get "http://10.244.2.183:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
5m32s       Warning   BackoffLimitExceeded   job/k6-load-test-oscillating-product-service-b1-oscillating-rep1      Job has reached the specified backoff limit
